SITE,Type,Latitude,Longitude,Chronology,Dominant Raw Material,Reference
Abrigo 1 de Vale Covões,Cave,40.048195,-8.498724,,,
Abrigo da Ribeira de Chitas 3,Open air,39.724653,-8.743456,,,
Abrigo do Alecrim,Cave,39.758482,-8.732999,,,
Abrigo do Lagar Velho,Cave,39.755456,-8.734738,,,
Abrigo Grande das Bocas,Cave,39.345776,-8.96948,,,
Algar do Joao Ramos,Cave,39.481661,-8.935076,,,
Baío,Open air,39.083243,-9.413155,,,
Bairrada,Open air,39.475801,-8.510116,,,
Buraca Escura,Cave,39.979858,-8.551835,,,
Buraca Grande,Cave,39.980928,-8.549641,,,
Cabeco de Porto Marinho,Open air,39.359683,-8.938783,,,
Casa da Moura,Cave,39.326362,-9.248523,,,
Casal do Cepo,Open air,39.425617,-8.566287,,,
Casal do Felipe,Open air,39.352612,-8.995432,,,
Cerrado Novo,Open air,39.09482,-9.400534,,,
Chancudo 1,Open air,38.309267,-7.34877,,,
Chancudo 2,Open air,38.310965,-7.346694,,,
Chancudo 3,Open air,38.308642,-7.349578,,,
Correio-Mor,Cave,38.826742,-9.187157,,,
Costa do Pereiro,Open air,39.580471,-8.546486,,,
Cova da Moira,Open air,39.07481,-9.397738,,,
Cruz da Pedra,Open air,37.116927,-8.719853,,,
Curva do Belixe,Open air,37.028985,-8.961362,,,
Estrada da Azinheira,Open air,39.32602,-8.90894,,,
Ferrel 1,Open air,37.116434,-8.728287,,,
Fontaínhas,Cave,38.688378,-9.303373,,,
Fonte Santa,Open air,39.477871,-8.510592,,,
Furadouro,Cave,39.186968,-9.031828,,,
Furninha,Cave,39.35611,-9.400372,,,
Gato Preto,Open air,39.335693,-8.930273,,,
Gruta da Aroeira,Cave,39.505331,-8.615275,,,
Gruta da Oliveira,Cave,39.504591,-8.616074,,,
Gruta de Salemas,Cave,38.875758,-9.203391,,,
Gruta do Almonda,Cave,39.504764,-8.615517,,,
Gruta do Caldeirao,Cave,39.648549,-8.415634,,,
Gruta do Escoural,Cave,38.544164,-8.13797,,,
Gruta do Ourão,Cave,40.022963,-8.580002,,,
Gruta do Poco Velho,Cave,38.700081,-9.420546,,,
Lapa da Rainha,Cave,39.181271,-9.325243,,,
Lapa do Anecrial,Cave,39.540483,-8.757775,,,
Lapa do Picareiro,Cave,39.531671,-8.654237,,,
Lapa do Suão,Cave,39.299666,-9.200083,,,
Lapa dos Coelhos,Cave,39.504594,-8.615376,,,
Malhada do Mercador I,Open air,38.422616,7.352472,,,
Monte da Fainha,Open air,38.758597,-7.693733,,,
Monte Roncanito 21,Open air,38.285209,-7.418749,,,
Mosqueiro 1,Open air,37.098075,-8.868751,,,
Mosqueiro 2,Open air,37.099846,-8.87383,,,
Pego do Diabo,Cave,38.863077,-9.220713,,,
Picos,Open air,39.324289,-8.91182,,,
Pinhal da Carneira,Open air,39.328299,-8.93158,,,
Pinheirocas 2,Open air,39.110404,-8.635267,,,
Ponta da Laje,Cave,38.71163,-9.312881,,,
Ponta Garcia,Open air,37.02342,-8.963482,,,
Portela 2,Open air,39.693489,-8.904018,,,
Praia da Albandeira,Open air,37.091046,-8.400781,,,
Praia da Galé,Open air,37.087595,-8.321476,,,
Ribeiros de Lagoa Seca,Open air,39.594376,-9.016241,,,
Rossio do Cabo,Open air,39.141958,-9.372464,,,
Sanguinhal,Open air,39.311451,-8.912258,,,
Terra do Jose Pereira,Open air,39.342803,-8.994267,,,
Terra do Manuel,Open air,39.34543,-8.992211,,,
Tocas,Open air,39.324929,-8.910436,,,
Vala,Open air,37.148996,-8.422917,,,
Vale  Almoinha,Open air,39.075305,-9.401918,,,
Vale Boi,Cave,37.089868,-8.809623,,,
Vale Comprido - Barraca,Open air,39.329378,-8.982621,,,
Vale Comprido - Cruzamento,Open air,39.329022,-8.982037,,,
Vale Comprido-Encosta,Open air,39.328656,-8.982844,,,
Vale da Mata,Open air,39.093449,-9.402359,,,
Vale de Obidos,Open air,39.327098,-8.942352,,,
Vale de Porcos,Open air,39.331896,-8.918866,,,
Vale Santo 2,Open air,37.049709,-8.961362,,,
Vale Santo 4,Open air,37.037979,-8.963708,,,
Vascas,Open air,39.351162,-8.933581,,,
