SITE,Type,Latitude,Longitude,Dominant Raw Material,Reference,Multiple Layers
Abrigo 1 de Vale Covões,Cave,40.048194,-8.498727,NA,Almeida et al. 2003,NA
Arneiro Cortiço,Open air,38.887484,-8.794103,Quartzite,Gaspar and Aldeias 2005,NA
Azinhal,Open air,39.606904,-7.694007,Quartzite,Almeida et al. 2008,No
Barrosos,Open air,40.018927,-8.598311,Mix,Almeida et al. 2003,NA
Buraca Escura,Cave,39.979856,-8.551838,Mix,Almeida et al. 2003,No
Buraca Grande,Cave,39.980927,-8.549644,NA,Almeida et al. 2003,No
Cobrinhos,Open air,39.668139,-7.674596,Quartzite,Pereira et al. 2019,No
Conceição,Open air,38.727525,-8.988151,Quartzite,Raposo and Cardoso 1998a,No
Curva do Belixe,Open air,37.027425,-8.986084,Chert,Bicho 2004,No
Estrada do Prado,Open air,39.610011,-8.414175,Mix,Pereira et al. 2011,No
Foz do Enxarrique,Open air,39.649792,-7.670305,Quartzite,Raposo et al. 1985,No
Furninha,Cave,39.360923,-9.399815,Chert,Bicho and Cardoso 2010,No
Galerias Pesadas,Cave,39.505331,-8.615279,Mix,Marks 2005,Yes
Gruta da Companheira,Cave,37.152886,-8.523358,Mix,Unpublished,Yes
Gruta da Figueira Brava,Cave,38.471644,-8.98678,Quartz,Raposo and Cardoso 1998c,Yes
Gruta da Oliveira,Cave,39.504589,-8.616076,Mix,Marks et al. 1998,Yes
Gruta do Caldeirão,Cave,39.648547,-8.415637,Mix,Zilhão 1997,Yes
Gruta do Correio-Mor,Cave,38.82674,-9.187159,Chert,Zbyszewski et al. 1987,NA
Gruta do Escoural,Cave,38.544168,-8.137971,Quartz,Otte and Silva 1996,Yes
Gruta do Ourão,Cave,40.02167,-8.744722,Mix,Aubry et al. 2006,Yes
Gruta Nova da Columbeira,Cave,39.297933,-9.200187,Mix,Raposo and Cardoso 1998b,Yes
Ibn-Amar,Cave,37.15607,-8.494664,Mix,Bicho 2004,No
Lagoa do Bando,Open air,39.615567,-7.987691,Quartzite,Peça et al. 2014,Yes
Lagoa do Bordoal,Open air,37.113769,-8.880154,Chert,Bicho 2004,No
Lagoa Funda 1,Open air,37.129956,-8.899219,Quartz,Bicho 2004,No
Lagoa Funda 2,Open air,37.123168,-8.889811,Quartz,Bicho 2004,No
Lapa do Picareiro,Cave,39.53167,-8.65424,Mix,Pereira et al. 2011,Yes
Lapa dos Furos,Cave,39.682945,-8.436176,NA,Zilhão 1997,NA
Mina do Paço,Open air,37.989488,-8.168306,Jasper,Burke et al. 2011,NA
Mira Nascente,Open air,39.70574,-9.045666,Chert,Haws et al. 2010,No
Moinhos 1,Open air,37.889661,-8.226361,Jasper,Burke et al. 2011,NA
Moinhos 2,Open air,37.889205,-8.234085,Jasper,Burke et al. 2011,NA
Monte Penedo 1,Open air,39.508731,-8.040199,Mix,Cura et al. 2016,Yes
Pedrógão,Open air,39.918539,-8.948452,Quartzite,Aubry et al. 2005,No
Pêgo do Diabo,Cave,38.863075,-9.220715,Chert,Zilhão et al. 2010,No
Pegos do Tejo 2,Open air,39.633647,-7.687103,Quartzite,Almeida et al. 2012,No
Porto Meirinho,Open air,38.279103,-7.40738,Quartzite,Carrondo 2013,No
Praia da Galé,Open air,37.087849,-8.321289,Chert,Bicho 2004,No
Praia do Rei Cortiço,Open air,39.422211,-9.243217,Quartzite,Haws et al. 2010,No
Quinta da Rosa,Open air,39.318628,-8.923008,Chert,Bicho pers. Info,NA
Ribeira da Atalaia,Open air,39.473811,-8.461925,Quartzite,Oosterbeek et al. 2008-2009,No
Ribeira de Cacela,Open air,37.161492,-7.545368,Mix,Unpublished,NA
Salemas,Cave,38.875755,-9.203393,Chert,Roche and Ferreira 1970,No
Salto do Boi,Open air,40.980511,-7.099275,Quartz,Aubry et al. 2020,Yes
Santa Cita,Open air,39.552415,-8.390347,Mix,Lussu et al. 2001,Yes
Santo Antão do Tojal,Open air,38.858704,-9.142759,Chert,Raposo 1995,No
Sapateiros 2,Open air,38.404792,-7.381971,Quartzite,Cunha-Ribeiro and Cura 2013,No
Tapada do Montinho,Open air,39.627663,-7.688592,Quartzite,Almeida et al. 2012,No
Vale da Porta,Open air,40.282224,-8.552772,Chert,Pereira et al. 2011,Yes
Vale do Forno 8,Open air,39.244917,-8.577811,Quartzite,Raposo 1995,No
Vale Santo,Open air,37.037976,-8.963708,Chert,Bicho 2004,No
Vilas Ruivas,Open air,39.641951,-7.69926,Quartzite,Raposo 1995,No
Vinhas,Open air,38.375304,-7.379628,Quartzite,Almeida et al. 2013,No
Gasparões,Open air,37.995506,-8.187177,Jasper,Burke et al. 2011,NA
Chacafre II,Open air,37.955112,-8.205036,Jasper,Burke et al. 2011,NA
