Site,SPMT,SPMT(1),SPMT(2)
Gruta de Salemas,Basic heavy (5),5,5
Gruta do Escoural,Siliceous loamy (2),2+5,2+5
Gruta do Pego do Diabo / Loca do Gato,Basic heavy (5),5,5
Buraca Escura,Basic heavy (5),5+6,5+6
Buraca Grande,Basic heavy (5),5+6,5+6
Casa da Moura,Basic heavy (5),5+6,4+5+6
Furninha,Basic very heavy (6),5+6,5+6
Gruta do Caldeirão,Basic heavy (5),5+6,5+6
Abrigo do Lagar Velho - Lapedo,Basic heavy (5),3+5,3+5
Abrigo Grande das Bocas (Abrigo I das Bocas),Basic heavy (5),5+6,5+6
Lapa do Picareiro,Basic heavy (5),5+6,5+6
Lapa do Suão,Basic heavy (5),5+6,4+5+6
Algar da Arroteia,Basic heavy (5),5+6,5+6
Algar da Rocha da Pena,Basic very heavy (6),6,6
Buraca Gloriosa,Basic very heavy (6),5+6,5+6
Buraca Longa / Gruta da Mina,Basic heavy (5),5+6,5+6
Columbeira,Basic heavy (5),5+6,4+5+6
Correio-Mor,Basic heavy (5),3+5,3+5
Cova,Basic heavy (5),5+6,5+6
Cova da Moira,Basic heavy (5),5,5
Figueira Brava,Basic heavy (5),5+6,5+6
Gruta do Caixão,Basic heavy (5),5+6,4+5+6
Gruta do Ourão II,Basic heavy (5),3+5,3+5
Gruta dos Morcegos,Basic heavy (5),5+6,5+6
Lapa de Santa Margarida,Intermediate loamy (4),4+5,2+3+4+5
Lapa do Vale das Lapas,Basic heavy (5),5+6,5+6
Milagres,Intermediate loamy (4),3+4,3+4+5
Pedreira de Alvados,Basic heavy (5),5+6,5+6
Ponte da Laje,Basic heavy (5),5,5
Ribeira do Cavalo,Basic heavy (5),5+6,4+5+6
Abrigo da Cascata,Siliceous heavy (3),2+3,2+3
Abrigo da Pala Encarnada,Basic heavy (5),3+5,3+5
Abrigo do Pé da Serra,Basic heavy (5),5+6,5+6
Abrigo do Zavial,Basic very heavy (6),6,6
Cova da Moura,Siliceous heavy (3),3,3
Gruta da Nascente do Almonda - Brecha dos Ursos,Basic heavy (5),5+6,5+6
Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,Basic heavy (5),5+6,5+6
Algar do João Ramos/Gruta das Redondas,Basic heavy (5),5+6,4+5+6
Gruta das Alcobertas,Basic heavy (5),5+6,5+6
Gruta do Carvalhal de Turquel (Algar do Estreito),Basic heavy (5),5+6,4+5+6
Gruta dos Casais do Arrife,Siliceous heavy (3),3+5,2+3+5
Gruta dos Penedos,Siliceous heavy (3),2+3,2+3
Rede Cársica da Nascente do Almonda - Gruta da Oliveira,Siliceous heavy (3),2+3,2+3
Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,Siliceous heavy (3),2+3,2+3
Redondas,Basic heavy (5),5+6,4+5+6
Vale da Lapa,Basic heavy (5),5+6,5+6
Valinho da Curvachia,Basic heavy (5),3+5,3+5
Abrigo 1 de Vale dos Covões,Basic heavy (5),5+6,5+6
Abrigo II,Basic heavy (5),3+5,3+5
Abrigo do Arrife do Almonda,Basic heavy (5),5+6,5+6
Abrigo do Vale da Canada,Basic heavy (5),5+6,5+6
Rocha da Gralheira,Basic heavy (5),5,5
Furadouro,Basic heavy (5),5+6,4+5+6
Lapa do Anecrial,Basic heavy (5),5+6,5+6
Gruta do Ourão,Basic heavy (5),3+5,3+5
Gruta do Poço Velho,Basic heavy (5),3+5,3+5+6
Lapa da Rainha 1/ Gruta da Maceira,Basic heavy (5),5+6,4+5+6
Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,Siliceous loamy (2),2+5,2+5
Abrigo do Alecrim,Basic heavy (5),3+5,3+5
