Site,Distance
Gruta de Salemas,21971
Gruta do Escoural,67765
Gruta do Pego do Diabo / Loca do Gato,20403
Buraca Escura,33690
Buraca Grande,33860
Casa da Moura,7610
Furninha,35
Gruta do Caldeirão,59685
Abrigo do Lagar Velho - Lapedo,26278
Abrigo Grande das Bocas (Abrigo I das Bocas),22856
Lapa do Picareiro,41920
Lapa do Suão,12516
Algar da Arroteia,25347
Algar da Rocha da Pena,17669
Buraca Gloriosa,30554
Buraca Longa / Gruta da Mina,33589
Columbeira,12653
Correio-Mor,17736
Cova,30575
Cova da Moira,23718
Figueira Brava,444
Gruta do Caixão,12373
Gruta do Ourão II,29470
Gruta dos Morcegos,59011
Lapa de Santa Margarida,270
Lapa do Vale das Lapas,57402
Milagres,19059
Pedreira de Alvados,32188
Ponte da Laje,3811
Ribeira do Cavalo,731
Abrigo da Cascata,67716
Abrigo da Pala Encarnada,26253
Abrigo do Pé da Serra,22712
Abrigo do Zavial,26
Cova da Moura,102739
Gruta da Nascente do Almonda - Brecha dos Ursos,46123
Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,46216
Algar do João Ramos/Gruta das Redondas,17547
Gruta das Alcobertas,22305
Gruta do Carvalhal de Turquel (Algar do Estreito),17259
Gruta dos Casais do Arrife,34014
Gruta dos Penedos,54510
Rede Cársica da Nascente do Almonda - Gruta da Oliveira,46153
Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,46221
Redondas,16751
Vale da Lapa,57080
Valinho da Curvachia,25567
Abrigo 1 de Vale dos Covões,36801
Abrigo II,26232
Abrigo do Arrife do Almonda,46202
Abrigo do Vale da Canada,30575
Rocha da Gralheira,13172
Furadouro,30741
Lapa do Anecrial,31561
Gruta do Ourão,29576
Gruta do Poço Velho,877
Lapa da Rainha 1/ Gruta da Maceira,2556
Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,46204
Abrigo do Alecrim,26293
