Site,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
Gruta de Salemas,1554.589099,11.55648,16.619379,5.062899,14.08793,2.531449,28.175859
Gruta do Escoural,1554.589099,0.363286,1.955623,1.592337,1.159455,0.796168,2.318909
Gruta do Pego do Diabo / Loca do Gato,777.294549,14.786319,14.786319,0,14.786319,0,14.786319
Buraca Escura,777.294549,52.368309,52.368309,0,52.368309,0,52.368309
Buraca Grande,777.294549,27.857386,27.857386,0,27.857386,0,27.857386
Casa da Moura,777.294549,6.668484,6.668484,0,6.668484,0,6.668484
Furninha,777.294549,2.617907,2.617907,0,2.617907,0,2.617907
Gruta do Caldeirão,777.294549,6.440946,6.440946,0,6.440946,0,6.440946
Abrigo do Lagar Velho - Lapedo,1554.589099,6.024074,11.170907,5.146833,8.597491,2.573416,17.194981
Abrigo Grande das Bocas (Abrigo I das Bocas),777.294549,26.545956,26.545956,0,26.545956,0,26.545956
Lapa do Picareiro,777.294549,24.59832,24.59832,0,24.59832,0,24.59832
Lapa do Suão,1554.589099,7.316062,18.213339,10.897276,12.764701,5.448638,25.529401
Algar da Arroteia,1554.589099,15.592272,16.293032,0.70076,15.942652,0.35038,31.885303
Algar da Rocha da Pena,777.294549,6.162749,6.162749,0,6.162749,0,6.162749
Buraca Gloriosa,777.294549,33.401863,33.401863,0,33.401863,0,33.401863
Buraca Longa / Gruta da Mina,1554.589099,2.764596,4.410893,1.646297,3.587744,0.823149,7.175488
Columbeira,777.294549,20.852482,20.852482,0,20.852482,0,20.852482
Correio-Mor,1554.589099,9.36137,10.955308,1.593938,10.158339,0.796969,20.316678
Cova,777.294549,27.859089,27.859089,0,27.859089,0,27.859089
Cova da Moira,777.294549,0.726543,0.726543,0,0.726543,0,0.726543
Figueira Brava,1554.589099,18.602777,23.053556,4.450779,20.828167,2.225389,41.656334
Gruta do Caixão,1554.589099,14.320833,24.944014,10.62318,19.632423,5.31159,39.264847
Gruta do Ourão II,1554.589099,8.659999,12.591271,3.931273,10.625635,1.965636,21.25127
Gruta dos Morcegos,1554.589099,2.567137,3.787345,1.220208,3.177241,0.610104,6.354482
Lapa de Santa Margarida,777.294549,10.123686,10.123686,0,10.123686,0,10.123686
Lapa do Vale das Lapas,1554.589099,3.628055,8.48821,4.860155,6.058132,2.430077,12.116265
Milagres,777.294549,13.64135,13.64135,0,13.64135,0,13.64135
Pedreira de Alvados,777.294549,12.90604,12.90604,0,12.90604,0,12.90604
Ponte da Laje,1554.589099,10.123686,10.770066,0.64638,10.446876,0.32319,20.893752
Ribeira do Cavalo,777.294549,27.049198,27.049198,0,27.049198,0,27.049198
Abrigo da Cascata,1554.589099,12.413041,13.766179,1.353138,13.08961,0.676569,26.17922
Abrigo da Pala Encarnada,777.294549,16.017931,16.017931,0,16.017931,0,16.017931
Abrigo do Pé da Serra,1554.589099,24.498175,25.441185,0.94301,24.96968,0.471505,49.93936
Abrigo do Zavial,777.294549,5.37335,5.37335,0,5.37335,0,5.37335
Cova da Moura,1554.589099,2.567137,5.433025,2.865888,4.000081,1.432944,8.000162
Gruta da Nascente do Almonda - Brecha dos Ursos,777.294549,12.145271,12.145271,0,12.145271,0,12.145271
Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,1554.589099,23.163158,29.662727,6.499569,26.412943,3.249784,52.825886
Algar do João Ramos/Gruta das Redondas,777.294549,2.567137,2.567137,0,2.567137,0,2.567137
Gruta das Alcobertas,1554.589099,16.77438,26.204798,9.430418,21.489589,4.715209,42.979177
Gruta do Carvalhal de Turquel (Algar do Estreito),1554.589099,0.726543,3.923451,3.196907,2.324997,1.598454,4.649994
Gruta dos Casais do Arrife,1554.589099,22.293093,26.176516,3.883423,24.234804,1.941711,48.469608
Gruta dos Penedos,1554.589099,11.540248,13.832517,2.292269,12.686382,1.146134,25.372765
Rede Cársica da Nascente do Almonda - Gruta da Oliveira,777.294549,30.369667,30.369667,0,30.369667,0,30.369667
Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,777.294549,33.980675,33.980675,0,33.980675,0,33.980675
Redondas,777.294549,1.497547,1.497547,0,1.497547,0,1.497547
Vale da Lapa,1554.589099,8.419976,11.142801,2.722825,9.781389,1.361413,19.562778
Valinho da Curvachia,1554.589099,7.592995,9.035639,1.442644,8.314317,0.721322,16.628633
Abrigo 1 de Vale dos Covões,1554.589099,19.369001,23.759371,4.390369,21.564186,2.195185,43.128372
Abrigo II,1554.589099,8.304935,11.142801,2.837866,9.723868,1.418933,19.447737
Abrigo do Arrife do Almonda,777.294549,15.48075,15.48075,0,15.48075,0,15.48075
Rocha da Gralheira,777.294549,9.87663,9.87663,0,9.87663,0,9.87663
Furadouro,777.294549,34.626877,34.626877,0,34.626877,0,34.626877
Lapa do Anecrial,777.294549,20.799578,20.799578,0,20.799578,0,20.799578
Gruta do Ourão,1554.589099,4.366134,6.318864,1.95273,5.342499,0.976365,10.684998
Gruta do Poço Velho,1554.589099,1.027432,1.955623,0.928191,1.491528,0.464095,2.983055
Lapa da Rainha 1/ Gruta da Maceira,777.294549,23.664848,23.664848,0,23.664848,0,23.664848
Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,1554.589099,28.972048,29.041952,0.069904,29.007,0.034952,58.014
Abrigo do Alecrim,1554.589099,19.142744,19.689159,0.546415,19.415952,0.273208,38.831903
