OBJECTID_1 *,Distance
1,1.059955
2,1.159626
3,1.825556
4,1.648937
5,1.488593
6,1.105113
7,1.812486
8,1.907758
9,1.784056
10,1.831995
11,1.916579
12,1.554515
13,1.746963
14,1.780218
15,1.358246
16,1.737103
17,0.188207
18,1.674603
19,0.460169
20,1.702994
21,1.475022
22,1.376897
23,1.760187
24,0.024526
25,0.745274
26,1.785371
27,1.485467
28,0.341184
29,1.407039
30,0.096931
31,1.905184
32,0.645214
33,0.332585
34,0.746197
35,1.296746
36,0.075615
37,1.792772
38,1.173855
39,1.000791
40,1.176985
41,1.021263
42,1.166655
43,1.108561
44,1.201549
45,1.582578
46,0.194637
47,0.739984
48,1.786654
49,1.360707
50,1.912637
51,1.40033
52,1.447827
53,1.764931
54,0.922366
55,1.751931
56,0.799928
57,1.741556
58,1.365846
59,0.793666
60,1.483816
61,1.846339
62,1.45487
63,0.814083
64,1.144823
65,0.74221
66,1.744757
67,0.372226
68,1.198404
69,1.126271
70,0.217771
71,1.600985
72,1.450363
73,0.944633
74,0.998721
75,0.28445
76,1.566677
77,1.388506
78,1.571851
79,1.392842
80,1.062761
81,1.736761
82,0.459746
83,1.809506
84,1.097164
85,1.533089
86,1.940419
87,1.592668
88,1.555121
89,0.303073
90,1.186162
91,1.477406
92,2.088295
93,0.770364
94,1.651054
95,0.814233
96,1.449536
97,1.89836
98,0.332609
99,1.127632
100,1.504099
101,1.512659
102,1.744101
103,1.70297
104,0.182469
105,0.488986
106,0.935039
107,1.163735
108,0.828487
109,0.349333
110,0.193366
111,0.921629
112,1.111677
113,0.450145
114,0.626937
115,0.612999
116,0.23564
117,1.343121
118,0.708964
119,0.505714
120,1.034348
121,0.724636
122,0.832006
123,0.554187
124,0.139786
125,0.123333
126,0.143182
127,0.540731
128,0.964947
129,0.19292
130,0.978437
131,0.804276
132,0.713704
133,0.600838
134,0.778637
135,1.11857
136,0.281917
137,0.005138
138,0.070172
139,0.256969
140,0.523102
141,0.665057
142,0.91369
143,0.85016
144,0.16146
145,0.171527
146,0.858148
147,0.762779
148,1.047645
149,0.527061
150,0.412795
151,0.875373
152,0.547612
153,0.39192
154,0.050671
155,0.285256
156,1.245834
157,0.62828
158,1.019662
159,0.875971
160,0.784599
161,1.067786
162,0.976467
163,0.163141
164,0.306061
165,0.218258
166,1.033864
167,0.162284
168,0.429773
169,1.002667
170,0.890417
171,0.810078
172,0.424618
173,0.178131
174,0.421543
175,0.132801
176,1.205098
177,0.882576
178,0.249914
179,0.62177
180,0.877839
181,1.159628
182,0.575075
183,0.616169
184,0.112057
185,0.636419
186,1.206654
187,0.362849
188,0.095547
189,0.253239
190,0.100001
191,0.031556
192,0.040419
193,0.283213
194,0.174026
195,0.023455
196,0.053949
197,0.112625
198,0.261837
199,0.061283
200,0.227272
201,0.271489
202,0.116132
203,0.065274
204,0.10304
205,0.093138
206,0.492544
207,0.384994
208,0.562849
209,0.473261
210,0.387794
211,0.157835
212,0.55364
213,0.088397
214,0.366012
215,0.186012
216,0.166871
217,0.204331
218,0.399077
219,0.554835
220,0.52296
221,0.761236
222,0.717615
223,0.238689
224,1.191528
225,0.30055
226,0.895998
227,0.54442
228,0.638445
229,0.580694
230,0.12834
231,0.490415
232,0.757031
233,0.631263
234,1.286211
235,0.270203
236,1.177872
237,0.955299
238,0.243649
239,0.951676
240,1.413505
241,1.145062
242,1.029713
243,0.634614
244,1.240312
245,0.54665
246,0.523876
247,0.951951
248,0.816534
249,0.737734
250,0.251312
251,0.822289
252,1.190135
253,0.704509
254,0.225722
255,0.757211
256,0.585607
257,0.549686
258,0.473478
259,0.708246
260,1.150986
261,1.296369
262,0.062946
263,0.708781
264,1.26955
265,0.824356
266,0.942486
267,0.48368
268,0.333773
269,0.35243
270,0.356636
271,0.539878
272,0.473254
273,0.322595
274,0.464033
275,0.328966
276,0.246829
277,0.893734
278,0.865051
279,0.342934
280,0.475776
281,0.773063
282,0.542473
283,0.454608
284,0.626828
285,1.775664
286,0.680194
287,0.70241
288,1.102774
289,1.205554
290,1.102594
291,1.713183
292,0.535136
293,0.025636
294,0.751285
295,0.911648
296,1.068364
297,0.78074
298,0.85719
299,1.734501
300,0.817619
301,0.983199
302,0.687181
303,1.672389
304,1.104893
305,1.732223
306,0.761376
307,0.886504
308,1.084811
309,1.216407
310,1.384697
311,0.433876
312,0.019472
313,0.072006
314,0.727494
315,0.710184
316,0.341955
317,0.614927
318,0.213455
319,0.250436
320,0.215967
321,0.290541
322,0.183812
323,0.331759
324,1.717764
325,0.028888
326,0.256171
327,0.288274
328,0.118491
329,0.038019
330,0.002083
331,0.393159
332,0.143044
333,0.031273
334,0.05866
335,0.328549
336,0.070375
337,0.084444
338,0.151444
339,1.718169
340,0.494737
341,1.812278
342,0.534398
343,0.334549
344,0.363207
345,0.083129
346,0.4806
347,0.253844
348,0.51588
349,0.251015
350,0.280783
351,0.521419
352,0.418258
353,0.411699
354,0.346411
355,0.188361
356,0.153772
357,0.527788
358,0.089758
359,0.122743
360,0.647266
