SITE,SPMT,SPMT(1),SPMT(2)
Abrigo 1 de Vale Covões,Basic heavy (5),5+6,5+6
Arneiro Cortiço,Siliceous loamy (2),2,2
Azinhal,Siliceous heavy (3),3,3
Barrosos,Intermediate loamy (4),3+4,3+4+5
Buraca Escura,Basic heavy (5),5+6,5+6
Buraca Grande,Basic heavy (5),5+6,5+6
Cobrinhos,Siliceous heavy (3),2+3,2+3
Conceição,Siliceous light (1),1,1
Curva do Belixe,Basic heavy (5),5,5
Estrada do Prado,Basic heavy (5),5,5
Foz do Enxarrique,Siliceous heavy (3),3,3
Furninha,Basic very heavy (6),5+6,5+6
Galerias Pesadas,Basic heavy (5),5+6,5+6
Gruta da Companheira,Basic very heavy (6),6,6
Gruta da Figueira Brava,Basic heavy (5),5+6,5+6
Gruta da Oliveira,Siliceous heavy (3),2+3,2+3
Gruta do Caldeirão,Basic heavy (5),5+6,5+6
Gruta do Correio-Mor,Basic heavy (5),3+5,3+5
Gruta do Escoural,Siliceous loamy (2),2+5,2+5
Gruta do Ourão,Intermediate loamy (4),3+4,3+4+5
Gruta Nova da Columbeira,Basic heavy (5),5+6,4+5+6
Ibn-Amar,Basic very heavy (6),6,6
Lagoa do Bando,Siliceous heavy (3),3,3
Lagoa do Bordoal,Basic heavy (5),2+5,2+3+5
Lagoa Funda 1,Siliceous heavy (3),3,3
Lagoa Funda 2,Basic heavy (5),2+5,2+3+5
Lapa do Picareiro,Basic heavy (5),5+6,5+6
Lapa dos Furos,Basic heavy (5),5+6,4+5+6
Mina do Paço,Siliceous heavy (3),3,3
Mira Nascente,Intermediate loamy (4),3+4,2+3+4+5+6
Moinhos 1,Siliceous loamy (2),2,2
Moinhos 2,Basic heavy (5),4+5,4+5
Monte Penedo 1,Siliceous heavy (3),2+3,2+3
Pedrógão,Siliceous light (1),1,1
Pêgo do Diabo,Basic heavy (5),5,5
Pegos do Tejo 2,Siliceous heavy (3),3,3
Porto Meirinho,Siliceous heavy (3),3,3
Praia da Galé,Basic heavy (5),2+5,2+3+5
Praia do Rei Cortiço,Siliceous heavy (3),3+5,2+3+5
Quinta da Rosa,Siliceous loamy (2),2,2
Ribeira da Atalaia,Alluvia,Alluvia,Alluvia
Ribeira de Cacela,Intermediate loamy (4),4+5,2+3+4+5
Salemas,Basic heavy (5),5,5
Salto do Boi,Intermediate loamy (4),3+4,3+4
Santa Cita,Alluvia,Alluvia,Alluvia
Santo Antão do Tojal,Basic heavy (5),5,5
Sapateiros 2,Siliceous loamy (2),2,2
Tapada do Montinho,Siliceous loamy (2),2+3,2+3
Vale da Porta,Siliceous heavy (3),3+5,2+3+5
Vale do Forno 8,Siliceous loamy (2),2+3,2+3
Vale do Pardo I,Intermediate loamy (4),3+4,3+4+5
Vale Santo,Basic heavy (5),2+5,2+3+5
Vilas Ruivas,Siliceous heavy (3),3,3
Vinhas,Siliceous heavy (3),3,3
